ZIP,raw_incident_count,active_agencies,incidents_per_agency,YEAR
23506,352,2,176.0,2017
23507,53,1,53.0,2017
23508,540,1,540.0,2017
23510,19419,1,19419.0,2017
23518,107,1,107.0,2017
23605,13992,1,13992.0,2017
23606,186,1,186.0,2017
23662,501,1,501.0,2017
23666,208,2,104.0,2017
23669,10182,2,5091.0,2017
23690,2624,1,2624.0,2017
23704,10532,1,10532.0,2017
23803,2822,2,1411.0,2017
23805,24,1,24.0,2017
23806,162,1,162.0,2017
23824,303,1,303.0,2017
23832,16678,1,16678.0,2017
23834,1736,2,868.0,2017
23837,613,3,204.33333333333334,2017
23841,861,1,861.0,2017
23847,933,5,186.6,2017
23851,984,2,492.0,2017
23860,1546,2,773.0,2017
23868,287,2,143.5,2017
23875,1103,1,1103.0,2017
23883,98,1,98.0,2017
23884,194,1,194.0,2017
23885,67,3,22.333333333333332,2017
23890,134,3,44.666666666666664,2017
23901,749,2,374.5,2017
23909,42,1,42.0,2017
23917,575,1,575.0,2017
23921,551,4,137.75,2017
23922,22,1,22.0,2017
23923,348,1,348.0,2017
23924,101,1,101.0,2017
23927,51,1,51.0,2017
23930,113,1,113.0,2017
23944,8,1,8.0,2017
23950,9,1,9.0,2017
23952,188,1,188.0,2017
23955,249,1,249.0,2017
23970,482,3,160.66666666666666,2017
23974,64,1,64.0,2017
00024,14,1,14.0,2017
24015,10,1,10.0,2017
24016,11609,1,11609.0,2017
24019,3645,1,3645.0,2017
24060,1097,1,1097.0,2017
24061,460,1,460.0,2017
24073,2032,2,1016.0,2017
24084,159,3,53.0,2017
24088,48,1,48.0,2017
24090,802,1,802.0,2017
24091,279,1,279.0,2017
24093,5,1,5.0,2017
24112,3981,3,1327.0,2017
24115,112,2,56.0,2017
24124,19,1,19.0,2017
24127,22,1,22.0,2017
24134,415,2,207.5,2017
24136,31,1,31.0,2017
24141,1079,2,539.5,2017
24142,349,1,349.0,2017
24147,44,1,44.0,2017
24151,2099,2,1049.5,2017
24153,1829,7,261.2857142857143,2017
24171,591,1,591.0,2017
24179,682,1,682.0,2017
24201,1449,3,483.0,2017
24210,377,2,188.5,2017
24212,1575,1,1575.0,2017
24216,47,1,47.0,2017
24219,316,1,316.0,2017
24228,289,2,144.5,2017
24230,106,1,106.0,2017
24236,82,1,82.0,2017
24251,656,2,328.0,2017
24256,9,1,9.0,2017
24260,60,1,60.0,2017
24263,530,2,265.0,2017
24266,925,2,462.5,2017
24273,234,1,234.0,2017
24277,32,1,32.0,2017
24279,35,1,35.0,2017
24283,82,1,82.0,2017
24290,49,1,49.0,2017
24293,1018,6,169.66666666666666,2017
24301,2432,2,1216.0,2017
24315,86,1,86.0,2017
24319,50,1,50.0,2017
24333,719,4,179.75,2017
24340,12,1,12.0,2017
24343,961,2,480.5,2017
24348,529,2,264.5,2017
24354,1500,2,750.0,2017
24368,21,1,21.0,2017
24370,45,1,45.0,2017
24382,1184,5,236.8,2017
24401,1700,2,850.0,2017
24402,175,1,175.0,2017
24416,143,2,71.5,2017
24422,304,4,76.0,2017
24426,556,3,185.33333333333334,2017
24441,67,1,67.0,2017
24450,887,3,295.6666666666667,2017
24465,51,1,51.0,2017
24482,2110,1,2110.0,2017
24484,38,1,38.0,2017
24502,200,2,100.0,2017
24505,5605,2,2802.5,2017
24517,204,1,204.0,2017
24521,816,2,408.0,2017
24522,365,3,121.66666666666667,2017
24523,2617,4,654.25,2017
24528,53,1,53.0,2017
24531,1223,1,1223.0,2017
24541,74,1,74.0,2017
24543,5083,2,2541.5,2017
24555,10,1,10.0,2017
